variable	Compartment	term	estimate	std.error	statistic	p.value	p.adj	direction	classification	Kingdom	Phylum	Class	Order	Family	Genus	Species	Phylum2
1104556	Rhizosphere	Day_After_Germination	-0.0026500378167637686	7.296085869143347e-4	-3.6321362773035957	3.935192709462883e-4	0.02125004063109957	Decreasing	Decreasing	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	unclassified	Alphaproteobacteria
1021984	Rhizosphere	Day_After_Germination	0.007298328515273827	0.0010669123155851944	6.84060761944691	2.257049618009001e-10	1.2188067937248605e-8	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified	Deltaproteobacteria
944113	Rhizosphere	Day_After_Germination	0.008203950555534257	7.699686442877948e-4	10.65491512725527	8.833034576209432e-20	4.769838671153093e-18	Increasing	Increasing	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	Bacteroidetes
934557	Rhizosphere	Day_After_Germination	0.0059176127891307	5.984180099331954e-4	9.888761185164388	8.17516906614355e-18	4.414591295717517e-16	Increasing	Increasing	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	unclassified	unclassified	Chloroflexi
822571	Rhizosphere	Day_After_Germination	0.009104547519155725	8.709298715821149e-4	10.453823914222363	2.909923369767477e-19	1.5713586196744375e-17	Increasing	Increasing	Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	unclassified	unclassified	unclassified	Verrucomicrobia
817295	Rhizosphere	Day_After_Germination	0.006848342598634741	0.0010747218577653937	6.3721999782102685	2.512391721686256e-9	1.3566915297105783e-7	Increasing	Increasing	Bacteria	Cyanobacteria	unclassified	unclassified	unclassified	unclassified	unclassified	Cyanobacteria
813043	Rhizosphere	Day_After_Germination	0.018068172819015987	0.0016093287146848854	11.227148719926882	2.9419901225647875e-21	1.5886746661849853e-19	Increasing	Increasing	Bacteria	Acidobacteria	AT-s54	unclassified	unclassified	unclassified	unclassified	Acidobacteria
783719	Rhizosphere	Day_After_Germination	-0.007813208083111551	9.054376808236506e-4	-8.62920579581369	1.220396557151034e-14	6.590141408615584e-13	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Betaproteobacteria
626739	Rhizosphere	Day_After_Germination	-0.002303534822359986	5.29686683389706e-4	-4.3488630063693865	2.6175811203709646e-5	0.0014134938050003208	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Z-35	unclassified	Betaproteobacteria
590579	Rhizosphere	Day_After_Germination	0.009033494478696042	9.651548835025527e-4	9.359631944163654	1.8080634694084806e-16	9.763542734805795e-15	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified	Deltaproteobacteria
567841	Rhizosphere	Day_After_Germination	0.00997141937305724	9.949614548073135e-4	10.021915245941189	3.7336454570932314e-18	2.016168546830345e-16	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	[Entotheonellales]	unclassified	unclassified	unclassified	Deltaproteobacteria
